TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
Shaker Sterling Silver Tableware Set,"Triple Clad Silver-Plated Tableware Set for Coffee, Tea, Water and Fruit Bowl

WEIGHT (GRAMS): 14.06 LBS. 
QUANTITY: 8 pieces
Set consists of: 1 creamer, 1 sugar bowl, 1 Large bowl, 3 pitchers, 1 salt & pepper shaker set, 1 butter dish",55,USD,1,"Housewares,Silver_Dishes",,https://img.etsystatic.com/il/b6602c/1555631237/il_fullxfull.1555631237_601d.jpg?version=0,,,,,,,,,,,,,,,
The Sak Hand Bag,"The Sak Handbag

Color: Black
Length(in.):12.5/10
Width(in.):5.5/4
Height(in.):11.5/11
Drop(in.):10/10
Pre-owned, has some wear on the interior",25,USD,1,Bags_And_Purses,,https://img.etsystatic.com/il/bf7d44/1508167482/il_fullxfull.1508167482_i828.jpg?version=0,,,,,,,,,,,,,,,
Vintage Estate Freshwater Button Pearl Necklace,"Vintage Estate Freshwater Button Pearl Necklace
MARKINGS: .925 on clasp
MATERIALS: Freshwater Pearls, Sterling Silver Clasp
CLASP: Lobster claw
APPROX MEASUREMENTS: 18"" length, 1 x 6mm diameter pearls
WEIGHT: 29.6g",45,USD,1,"Weddings,Jewelry,Fresh_Water_Pear,Pearl_necklace,Estate_pearl,vintage_pearl","pearl,sterling silver",https://img.etsystatic.com/il/9f85c9/1508155722/il_fullxfull.1508155722_fev4.jpg?version=0,,,,,,,,,,,,,,,
Coach Brown Traditional Bag,"Authentic Brown COACH Handbag, this item has been authenticated by a third party authenticator who specializes in designer and vintage fashion and comes with a certificate of authentication

Brand: Coach

Material: Leather, Fabric

Color: Brown

Length (in.): 10in 

Width (in.): 1in

Top of Strap to Purse Body: 7.5in

Number of Inside Pockets: 3",35,USD,1,"Bags_And_Purses,Coach,Handbag",,https://img.etsystatic.com/il/de25f1/1555612101/il_fullxfull.1555612101_fqzn.jpg?version=0,,,,,,,,,,,,,,,
"18"" 14K Gold Rope Link Chain-4.0g","Solid 14K gold rope chain

18"" L x  2mm W

Markings: 14K

Weight: 4.0g",125,USD,1,"Jewelry,Necklace,14K,Solid_Gold,Gold,Chain,Necklace",Gold,https://img.etsystatic.com/il/1c930b/1555607785/il_fullxfull.1555607785_hdft.jpg?version=0,https://img.etsystatic.com/il/cebcfa/1508129516/il_fullxfull.1508129516_i8rn.jpg?version=0,,,,,,,,,,,,,,
18K Gold Mullti Gem Bracelet,"A single Strand gem encrusted [with 2 views in image]
18Kt Triple gold-clad rolled gold over .925 Sterling Silver 
The gems are Fine Jeweler's grade Tourmaline, Peridot, Quartz, two Amethysts, two Topaz, Citrine, and Garnet. 
Each gem is oval shaped, and is approximately 6 mm by 4 mm. 
weighs 8.8 grams.",28,USD,1,"Jewelry,Bracelet,18K_Gold,Sterling_Silver,Tourmaline,Peridot,Quartz,two_Amethysts,two_Topaz,Citrine,Garne",,https://img.etsystatic.com/il/5cd975/1508121078/il_fullxfull.1508121078_58zu.jpg?version=0,,,,,,,,,,,,,,,
18K Gold Bracelet w Ruby Diamond Heart,"Beautiful Heart Charm Bracelet
18KT Over .925 Sterling Silver Bracelet W/ 7 Rubies & 1 Diamond
MARKINGS: .925
Length: 7.5""
WEIGHT: 10.60g
NOTES: 7 Rubies, 1 Diamond, and high grade diamond accents",38,USD,1,"Jewelry,Bracelet,Ruby,Diamond,18K_Gold,Sterling_Silver",,https://img.etsystatic.com/il/a5fd9c/1555576677/il_fullxfull.1555576677_c635.jpg?version=0,,,,,,,,,,,,,,,
Coach Red Handbag,"Coach Red Handbag

Coach handbag, G1J-60948. Red and brown in color; 8 inches long. Condition: Good Pre-owned
NOTE: there are some scuffs along the border
Shipping weight: 0.50 pounds. 
Shipping dimensions: 15 by 10 by 2 (inches).",28,USD,1,"Bags_And_Purses,Coach,Handbag",,https://img.etsystatic.com/il/068040/1508111604/il_fullxfull.1508111604_lvec.jpg?version=0,,,,,,,,,,,,,,,
Vintage Estate Edgar Berebi Brooch,Vintage Estate Edgar Berebi Brooch,25,USD,1,"Weddings,Jewelry,Brooch,Vintage,Estate,Edgar_Berebi,Brooch",,https://img.etsystatic.com/il/e137b1/1555550417/il_fullxfull.1555550417_fkj3.jpg?version=0,,,,,,,,,,,,,,,
Coach White Leather Hobo Bag,Coach White Leather Hobo Bag,25,USD,1,"Bags_And_Purses,Coach_Bag,Leather,Handbag,Hobo",Leather,https://img.etsystatic.com/il/5e30f3/1555546325/il_fullxfull.1555546325_s9gc.jpg?version=0,,,,,,,,,,,,,,,
Kenneth Cole Leather Hobo Bag,"Kenneth Cole Blue Leather Hobo Bag
Pre-owned but looks new",58,USD,1,"Bags_And_Purses,Kenneth_Cole,Handbag,Leather,Hobo",Leather,https://img.etsystatic.com/il/52a185/1557172339/il_fullxfull.1557172339_mzgg.jpg?version=0,,,,,,,,,,,,,,,
Ralph Lauren Handbag,"Length(in.):12.5/10
Width(in.):5.5/4
Height(in.):11.5/11
Drop(in.):10/10
Pre-owned but unused",35,USD,1,"Bags_And_Purses,Ralph_Lauren,Handbag,Tote",,https://img.etsystatic.com/il/4d90cf/1508074658/il_fullxfull.1508074658_kfq7.jpg?version=0,,,,,,,,,,,,,,,
Tommy Hilfiger Purple Handbag,"Tommy Hilfiger Purple  Handbag	
8.5"" x 5"" x 3.6""",28,USD,1,"Bags_And_Purses,Tommy_Hilfiger,Handbag,Purse",,https://img.etsystatic.com/il/8aee16/1555531329/il_fullxfull.1555531329_7677.jpg?version=0,,,,,,,,,,,,,,,
Anne Klein Wristlet Wallet,"Anne Klein Zip Wallet - Wristlet is pre-owned, but it is unused.",28,USD,1,"Accessories,Wallet,Anne_Klein,Wallet,Wristlet",Leather,https://img.etsystatic.com/il/299ff4/1508065816/il_fullxfull.1508065816_s10g.jpg?version=0,,,,,,,,,,,,,,,
Tommy Hilfiger Women's Leather Boots,"Tommy Hilfiger Boots
US Shoe Size (Women's):	7.5
Material:	Leather
Pre-owned",35,USD,1,"Clothing,Shoes,Women,Leather_Boots,Boots,Tommy_Hilfiger",Leather,https://img.etsystatic.com/il/222d45/1508061636/il_fullxfull.1508061636_ff31.jpg?version=0,,,,,,,,,,,,,,,
Fair Brand Leather Hoodie Coat,"Fair Brand Leather Hoodie Coat	

Style:	Hooded Jacket	Size (Women's):	M
Material:	Leather	Size Type:	Regular
Fur Type:	Faux Fur",26,USD,1,"Clothing,Women,Jacket,Leather,Hoodie,Fur_Lined,Leather_Coat",Leather,https://img.etsystatic.com/il/3a60b9/1555517241/il_fullxfull.1555517241_9sib.jpg?version=0,,,,,,,,,,,,,,,
Anne Klein Leather Jacket,"Anne Klein - Lambskin soft
Style:	Jacket	Size (Women's):	L
Material:	Leather	Size Type:	Regular",35,USD,1,"Clothing,Women,Jacket,Anne_Klein,Leather,Jacket,Coat",Leather,https://img.etsystatic.com/il/f05a81/1555501049/il_fullxfull.1555501049_aurn.jpg?version=0,,,,,,,,,,,,,,,
Estate Sterling Silver Lattice Earrings,"Estate Sterling Silver Lattice Earrings 
7g",45,USD,1,"Jewelry,Earrings,Sterling_Silver,Earrings,Estate,Vintage",Silver,https://img.etsystatic.com/il/1292bc/1555495793/il_fullxfull.1555495793_o28g.jpg?version=0,,,,,,,,,,,,,,,
Ralph Lauren Men's Shoes,"Description: Tan Polo Ralph Lauren Shoes Size 6 Men's
Brand: Polo Ralph Lauren
Gender: Men's
Material: Canvas Upper, Rubber/Fabric Sole, Canvas Lining
Size:  6
Measurements: 
Height: 3 1/2""
Width: 3 1/2""
(Measured At The Widest Point Across The Bottom Of The Shoe)
Heel To Toe Inside The Shoe: 7 1/2""",20,USD,1,"Clothing,Shoes,Women,Ralph_Lauren,Shoes",,https://img.etsystatic.com/il/2117de/1555451005/il_fullxfull.1555451005_7a30.jpg?version=0,https://img.etsystatic.com/il/3f94a6/1556266225/il_fullxfull.1556266225_6gaw.jpg?version=0,,,,,,,,,,,,,,
Black Coach Hobo,"Black Coach Handbag
Has Rings, Zip Pulls and Leather Tag with Coach Logo
Braided Leather Strap
Buckle Strap
Suede Patches on sides",30,USD,1,"Bags_And_Purses,Coach,Handbags,Hobo,Leather",,https://img.etsystatic.com/il/183d31/1560685889/il_fullxfull.1560685889_r6cj.jpg?version=0,https://img.etsystatic.com/il/8e786b/1560685271/il_fullxfull.1560685271_72rd.jpg?version=0,https://img.etsystatic.com/il/7fb74d/1555433905/il_fullxfull.1555433905_9ieq.jpg?version=0,,,,,,,,,,,,,
Solid 10K Gold Estate Etched Band,"Vintage Estate 10K Yellow Gold Etched Band Ring 

Size 8
 
Markings:
10K",38,USD,1,"Jewelry,Ring,Solid_Gold,10K_Gold,Wedding_Band,Ring","Gold,10K Gold",https://img.etsystatic.com/il/1c36c9/1507941128/il_fullxfull.1507941128_6659.jpg?version=0,,,,,,,,,,,,,,,
Leather Tasseled Antonio Melani Leather Satchel,"Leather Tasseled Antonio Melani Satchel

3 lbs - 9.5 x 12 x 2

Perfect Condition, unused. Beautiful red seams and finishing.",65,USD,1,"Bags_And_Purses,Antonio_Melani,Leather,Handbag,Bag,Cross_Body,Handled_Bag,Italian,Satchel",Leather,https://img.etsystatic.com/il/ad769b/1509702946/il_fullxfull.1509702946_n9ll.jpg?version=0,,,,,,,,,,,,,,,
Sterling Silver Necklace Set,"2 Sterling Pendant necklaces inc Moon & Stars

Measurements: Both 16"" box chain   1 3/4""  and 1/2"" moon and star pendant

7.5 grams

Str ID: 31",25,USD,1,"Jewelry,Necklace,Sterling_Silver,jewelry,necklace",Silver,https://img.etsystatic.com/il/547f2e/1507916640/il_fullxfull.1507916640_7jvm.jpg?version=0,https://img.etsystatic.com/il/951808/1507917258/il_fullxfull.1507917258_htwv.jpg?version=0,,,,,,,,,,,,,,
